Total Write,Term,Node 1 Write,Node 2 Write,Node 3 Write,Node 4 Write,Node 5 Write,Node 6 Write,Node 7 Write,Node 8 Write,Node 1 Remain Percent,Node 2 Remain Percent,Node 3 Remain Percent,Node 4 Remain Percent,Node 5 Remain Percent,Node 6 Remain Percent,Node 7 Remain Percent,Node 8 Remain Percent,variance
116535462,1,24000000,20000000,16000000,15620320,14845154,14845154,3224834,8000000,0.00002400,0.00002000,0.00001600,0.00001562,0.00001485,0.00002969,0.00000645,0.00001600,0.0000000000
597147102,1,101173653,76606048,70875736,101879597,92789757,54845154,47174262,51802895,0.00010117,0.00007661,0.00007088,0.00010188,0.00009279,0.00010969,0.00009435,0.00010361,0.0000000002
1946728110,1,279489229,282636001,280204332,289572320,273666492,183152576,150626922,207380238,0.00027949,0.00028264,0.00028020,0.00028957,0.00027367,0.00036631,0.00030125,0.00041476,0.0000000026
2126275320,1,319489229,320031848,316053402,310968167,292119715,199152576,157080145,211380238,0.00031949,0.00032003,0.00031605,0.00031097,0.00029212,0.00039831,0.00031416,0.00042276,0.0000000022
2620294734,1,406236006,401319279,370928831,392903085,360670967,238203508,189263320,260769738,0.00040624,0.00040132,0.00037093,0.00039290,0.00036067,0.00047641,0.00037853,0.00052154,0.0000000032
2770264824,1,424226036,437319279,388007671,425814275,369582157,250203508,201263320,273848578,0.00042423,0.00043732,0.00038801,0.00042581,0.00036958,0.00050041,0.00040253,0.00054770,0.0000000035
5276977050,1,783375645,801493032,768491255,861278738,758694653,454683318,412871627,436088782,0.00078338,0.00080149,0.00076849,0.00086128,0.00075869,0.00090937,0.00082574,0.00087218,0.0000000029
5316714738,1,786822773,814738928,771938383,867077506,766694653,458683318,414670395,436088782,0.00078682,0.00081474,0.00077194,0.00086708,0.00076669,0.00091737,0.00082934,0.00087218,0.0000000029
7986632277,1,1133406196,1229908513,1141565289,1326769956,1151789781,717597014,640658856,644936672,0.00113341,0.00122991,0.00114157,0.00132677,0.00115179,0.00143519,0.00128132,0.00128987,0.0000000112
8513850273,1,1183781190,1320474538,1227090795,1417080492,1231531487,782174210,680262129,671455432,0.00118378,0.00132047,0.00122709,0.00141708,0.00123153,0.00156435,0.00136052,0.00134291,0.0000000151
8885749482,1,1228475237,1363478156,1302489573,1479785223,1286740869,822741835,710583157,691455432,0.00122848,0.00136348,0.00130249,0.00147979,0.00128674,0.00164548,0.00142117,0.00138291,0.0000000171
10923830943,1,1585519752,1666266968,1590440873,1801324467,1582248600,959511469,904682846,833835968,0.00158552,0.00166627,0.00159044,0.00180132,0.00158225,0.00191902,0.00180937,0.00166767,0.0000000159
13573671600,1,2003991247,2072967069,1998939367,2245608701,1970255114,1118053193,1096633733,1067223176,0.00200399,0.00207297,0.00199894,0.00224561,0.00197026,0.00223611,0.00219327,0.00213445,0.0000000123
16632363951,1,2472926263,2479907034,2446745182,2713033688,2424241685,1376469614,1341332356,1377708129,0.00247293,0.00247991,0.00244675,0.00271303,0.00242424,0.00275294,0.00268266,0.00275542,0.0000000216
16979029179,1,2519814281,2513474431,2506131935,2776070281,2476410008,1393722482,1387669514,1405736247,0.00251981,0.00251347,0.00250613,0.00277607,0.00247641,0.00278744,0.00277534,0.00281147,0.0000000233
17210856396,1,2565285924,2547284422,2529597683,2816173218,2513582810,1401722482,1419193150,1418016707,0.00256529,0.00254728,0.00252960,0.00281617,0.00251358,0.00280344,0.00283839,0.00283603,0.0000000235
17564622375,1,2628375756,2600114970,2588565407,2853369953,2571311699,1432554643,1448313240,1442016707,0.00262838,0.00260011,0.00258857,0.00285337,0.00257131,0.00286511,0.00289663,0.00288403,0.0000000224
19262371524,1,2841062896,2858540786,2884449367,3106666653,2828118746,1593681808,1602428989,1547422279,0.00284106,0.00285854,0.00288445,0.00310667,0.00282812,0.00318736,0.00320486,0.00309484,0.0000000265
19979550483,1,2915353348,2977055785,2969677327,3242002809,2947338731,1640160258,1687864720,1600097505,0.00291535,0.00297706,0.00296968,0.00324200,0.00294734,0.00328032,0.00337573,0.00320020,0.0000000324
20249565882,1,2963414272,3029018710,3005908063,3275777206,2979508543,1665504606,1713846004,1616588478,0.00296341,0.00302902,0.00300591,0.00327578,0.00297951,0.00333101,0.00342769,0.00323318,0.0000000331
20997502746,1,3082736736,3149872437,3138725359,3354931740,3116293647,1725615240,1782736398,1646591189,0.00308274,0.00314987,0.00313873,0.00335493,0.00311629,0.00345123,0.00356547,0.00329318,0.0000000312
21897798603,1,3205843572,3286058030,3266510250,3498312607,3261943228,1812545089,1846363671,1720222156,0.00320584,0.00328606,0.00326651,0.00349831,0.00326194,0.00362509,0.00369273,0.00344044,0.0000000335
22540917804,1,3312530197,3402919940,3348515473,3584687054,3354456381,1871716998,1897619340,1768472421,0.00331253,0.00340292,0.00334852,0.00358469,0.00335446,0.00374343,0.00379524,0.00353694,0.0000000347
23808454938,1,3480566017,3589518647,3535181461,3817056824,3530516388,1979619024,1991105665,1884890912,0.00348057,0.00358952,0.00353518,0.00381706,0.00353052,0.00395924,0.00398221,0.00376978,0.0000000402
24056036190,1,3495715311,3629518647,3566112729,3871014986,3581043472,1991619024,2015105665,1905906356,0.00349572,0.00362952,0.00356611,0.00387101,0.00358104,0.00398324,0.00403021,0.00381181,0.0000000418
26167898184,1,3823547755,3988176343,3854878211,4190152607,3893712281,2157624291,2178756777,2081049919,0.00382355,0.00398818,0.00385488,0.00419015,0.00389371,0.00431525,0.00435751,0.00416210,0.0000000443
27203208630,1,3950730651,4143225498,4012967352,4340155958,4064142197,2265275118,2249018770,2177693086,0.00395073,0.00414323,0.00401297,0.00434016,0.00406414,0.00453055,0.00449804,0.00435539,0.0000000500
28407739770,1,4132374147,4336690779,4190571665,4541806611,4222614727,2367748264,2347777351,2268156226,0.00413237,0.00433669,0.00419057,0.00454181,0.00422261,0.00473550,0.00469555,0.00453631,0.0000000550
29319383094,1,4259549159,4494185942,4329535647,4660948771,4336352900,2465883609,2440038355,2332888711,0.00425955,0.00449419,0.00432954,0.00466095,0.00433635,0.00493177,0.00488008,0.00466578,0.0000000656
29706038487,1,4324052420,4536467319,4367998011,4720964390,4416629359,2504136275,2480858036,2354932677,0.00432405,0.00453647,0.00436800,0.00472096,0.00441663,0.00500827,0.00496172,0.00470987,0.0000000692
31073086371,1,4504189097,4727819649,4640840657,4911506515,4626659512,2593178726,2611190410,2457701805,0.00450419,0.00472782,0.00464084,0.00491151,0.00462666,0.00518636,0.00522238,0.00491540,0.0000000696
32348246355,1,4687909816,4893059287,4840348737,5128267044,4801828363,2725451869,2710064404,2561316835,0.00468791,0.00489306,0.00484035,0.00512827,0.00480183,0.00545090,0.00542013,0.00512263,0.0000000814
33037731459,1,4786587231,4992881391,4916731823,5242653185,4911471771,2790069441,2780169042,2617167575,0.00478659,0.00499288,0.00491673,0.00524265,0.00491147,0.00558014,0.00556034,0.00523434,0.0000000910
33346887891,1,4844336332,5039031873,4963884384,5291956228,4943113695,2817001672,2798946070,2648617637,0.00484434,0.00503903,0.00496388,0.00529196,0.00494311,0.00563400,0.00559789,0.00529724,0.0000000912
33430887891,1,4852336332,5059031873,4967884384,5307956228,4951113695,2829001672,2802946070,2660617637,0.00485234,0.00505903,0.00496788,0.00530796,0.00495111,0.00565800,0.00560589,0.00532124,0.0000000936
35076579198,1,5085171567,5327170832,5214235952,5577563157,5205927927,2969320064,2932199876,2764989823,0.00508517,0.00532717,0.00521424,0.00557756,0.00520593,0.00593864,0.00586440,0.00552998,0.0000000991
